mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
39;025.04&L274r;Teoría de los sistemas de información;Langefors, Borje;1976;El Ateneo;
40;001.61&A87i;Introducción a sistemas y control;Auslander, David M.;1976;McGraw-Hill;
41;001.61&M167a;Análisis de sistemas: modelos de toma de decisiones por computadora;McMillan, Claude;1984;Trillas;3 ed.
41;001.61&M167a;Análisis de sistemas: modelos de toma de decisiones por computadora;McMillan, Claude;1984;Trillas;3 ed.
42;001.6&D261p;Principios de procesamiento de datos;Davis, Gordon B.;1983;Trillas;
42;001.6&D261p;Principios de procesamiento de datos;Davis, Gordon B.;1983;Trillas;
43;001.61&O69i;Introducción al procesamietno de datos para los negocios;Orilia, Laurence S.;1983;McGraw-Hill;
44;001.642&4;Computels machine language for the commodore 64;Compute Publications, Inc.;1984;Compute publications.;
45;001.642&4;Aplicaciones de computación a problemas de ingeniería;Aréchiga Gallegos, Rafael;1979;Limusa;
46;001.642&4;Introducción a la programación mediante Fortran IV;Dimitry, D. L.;1985;Interamericana;
47;001.642&4B;Prácticos programas en BASIC edición Apple II;Cook, Steven;1983;Osborne;
48;001.642&4;Algunos programas de uso común en basic: edición para atari;Poole, Lon;1983;Osborne;
49;001.642 4&F6;Fortran 77 un estilo estructurado y disciplinado;Davis, Gordon B.;1984;McGraw-Hill;
50;001.642&H466P;Programas para ciencia e ingenieria: edición para Apple II;Heilborn, John;1982;Osborne;
51;001.642&4F;Programación de Fortran;Rule, Wilfred P.;1975;Harla;
52;001.642&4;Fortran: Introducción al lenguaje y resolución de problemas con programación estructurada;Friedman, Frank L.;1984;Fondo Educativo Interamericano.;
53;001.642 4&B2;Programas prácticos en BASIC: edición computador personal IBM;Cook, Steven;1983;Orborne;
54;001.642&4;Introducción al Wodstar;Ettlin, Walter A.;1984;Osborne;2 ed.
54;001.642&4;Introducción al Wodstar;Ettlin, Walter A.;1984;Osborne;2 ed.
55;001.642&4;Manual de Basic guía comparativa del lenguaje Basic en las microcomputadoras más populares;Helms, Harry;1984;McGraw-Hill;
55;001.642&4;Manual de Basic guía comparativa del lenguaje Basic en las microcomputadoras más populares;Helms, Harry;1984;McGraw-Hill;
56;001.642&P822a;Algunos programas de uso común en Basic: edición para Apple II;Poole, Lon;1983;Osborne;
57;001.642&P822a;Algunos programas de uso común en Basic;Poole, Lon;1982;Osborne;3 ed.
57;001.642&P822a;Algunos programas de uso común en Basic;Poole, Lon;1982;Osborne;3 ed.
58;001.642&4;Algunos programas de uso común en Pascal;Dormido Bencomo, Sebastián;1982;Osborne;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
59;001.642&B1;Como usar dBase III : plus.;Simpson, Alan;1989;Macrobit-Alfaomega;
60;001.642&4;Algunos programas de uso común en Basic: edición computador Personal IBM;Poole, Long;1983;Osborne;
61;001.642&4p17;Programación en Pascal;Keller, Arthur M.;1983;McGraw-Hill;
62;001.642&5c;Cobol estructurado;Graver, Robert T.;s.d;Prentice-Hall;
63;001.642&5F6;Fortran para ingeniería;Schick, Williams;1974;McGraw-Hill;
63;001.642&5F6;Fortran para ingeniería;Schick, Williams;1974;McGraw-Hill;
64;001.644&04;Sistemas expertos;Nebendahl, Dieter.;1991;Marcombo;
65;001.642&5;Procesamiento de texto: software para el IBM/PC;Seyblod, Patricia B.;1986;Byte Books;
66;070.1&H717c;Ciencias y técnicas de la información;Hohemberg, J.;1982;Interamericana;2 ed.
67;001.642&4p;Programas prácticos en Pascal;Davidson, Gregory;1983;McGraw-Hill;
68;001.642&4;Cobol y sus aplicaciones en los negocios;Philippakis, S.;1977;McGraw-Hill;
69;001.642&4F6;Lenguaje Fortran IV;Friedman, J.;1983;Limusa;
70;001.642&4F6;Programación con Fortran;Lipschutz, Seymour;1979;McGraw-Hill;
70;001.642&4F6;Programación con Fortran;Lipschutz, Seymour;1979;McGraw-Hill;
71;001.642&4F6;Iniciación en Fortran;Davis, William F.;1985;Fondo Educativo Interamericano;
72;001.642&4B2;Basic básico;Monro, Donald M.;1986;McGraw-Hill;2 ed.
73;150&D249i;Introducción a la psicología;Davidoff, Linda L.;1984;McGraw-Hill;2 ed.
73;150&D249i;Introducción a la psicología;Davidoff, Linda L.;1984;McGraw-Hill;2 ed.
73;150&D249i;Introducción a la psicología;Davidoff, Linda L.;1984;McGraw-Hill;2 ed.
74;001.642&4F;introducción a la programación de computadora utilizando el lenguaje Fortran;Derbyshire, Elisabeth N.;s.d;Universidad del Estado de Colorado;
75;150&B265p;Psicología, un enfoque conceptual;Baron, Robert.;1981;Interamericana;
76;001.642&4B1;Basic con aplicaciones;Hennefeld, Julien;1987;Grupo Editorial Iberoamérica;
77;150&G487p;Psicología general;Gilmer, B. Von Haller;1974;Harla;2 ed.
78;150.1&M394p;psicología de la ciencia;Maslow, Abraham H.;1979;Edamex;
79;001.642&4B1;Programas prácticos en Basic: edición TRS-80 nivel II;Cook, Steven;1983;Osborne;
80;001.642&4B1;Programas prácticos en Basic;Cook, Steve;1983;McGraw-Hill;
80;001.642&4B1;Programas prácticos en Basic;Cook, Steve;1983;McGraw-Hill;
80;001.642&4B1;Programas prácticos en Basic;Cook, Steve;1983;McGraw-Hill;
81;150&M875p;Psicología: un nuevo enfoque;Morris, Charles G.;1987;Prentice-Hall Hispanoamericana.;5 ed.
81;150&M875p;Psicología: un nuevo enfoque;Morris, Charles G.;1987;Prentice-Hall Hispanoamericana.;5 ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
82;100&G643i;Introducción a la práctica de la filosofía: texto de iniciación;González, Antonio;2010;UCA Editores;14a. reimp. de 1a. ed.
83;001.64&L768m;Microsoft Windows 98: paso a paso;Lirola, Antonio;1998;McGraw-Hill/Interamericana;
84;001.642&4;Pascal estructurado;Tremblay, Jean-Paul;1984;McGraw-Hill;
84;001.642&4;Pascal estructurado;Tremblay, Jean-Paul;1984;McGraw-Hill;
85;001.642&4B1;Basic para la apple II;Brow, Jerald R.;1986;Limusa;
86;158.7&B658p;Psicología industrial;Blum, Milton L.;1985;Trillas;4 ed.
86;158.7&B658p;Psicología industrial;Blum, Milton L.;1985;Trillas;4 ed.
87;158.7&F596e;Estudio de la psicología industrial y del personal;Fleisman, Edwin A.;1976;Trillas;
88;158.7&S649p;Psicología de la conducta industrial;Smith, Senry Clay;1977;McGraw-Hill;3 ed.
88;158.7&S649p;Psicología de la conducta industrial;Smith, Senry Clay;1977;McGraw-Hill;3 ed.
89;152.5&D252a;Administre su tiempo fácil;Davidson, Jeff;1996;Prentice-Hall Hispanoamericana.;
90;158.7&D923p;Psicología Industrial;Dunnette, Marvin D.;1972;Trillas;
90;158.7&D923p;Psicología Industrial;Dunnette, Marvin D.;1972;Trillas;
90;158.7&D923p;Psicología Industrial;Dunnette, Marvin D.;1972;Trillas;
91;152&M847b;Breve introducción a la psicología;Morgan, Clifford T.;1977;McGraw-Hill;
92;152.5&A696m;motivación;Galicia, Fernando Arias;1980;Trillas;
92;152.5&A696m;motivación;Galicia, Fernando Arias;1980;Trillas;
93;150.1&S628e;Análisis de la conducta: una visión retrospectiva;Skinner, B.F.;1991;Limusa;
94;301&M779s;Sociología general;Montes, Segundo;s.d;UCA Editores;
94;301&M779s;Sociología general;Montes, Segundo;s.d;UCA Editores;
94;301&M779s;Sociología general;Montes, Segundo;s.d;UCA Editores;
94;301&M779s;Sociología general;Montes, Segundo;s.d;UCA Editores;
95;150.194&P213p;Psicología;Papalia, Diane E.;1988;Schaum McGraw-Hill;
95;150.194&P213p;Psicología;Papalia, Diane E.;1988;Schaum McGraw-Hill;
