mfn;clasificacion;nombre;autor;fechaPublicacion;idEditorial;numeroEdicion
4347;COL.NB&620.112 32&P895p;Problemes de Plasticité  Théorique;Prager, W.;1958;Dunod;
4348;COL.NB&620.112 32&W244a;Applied Elasticity;Wang, Chi-Teh;1953;McGraw-Hill;
4349;COL.NB&620.112 33&J71p;Plasticity for Mechanical Engineers;Johnson, W.;1962;D. Van Nostrand Company;
4350;COL.NB&620.131&I88;Italbianco Cemento Portland Blanco ad alta resistenza e a Rapido Indurimento;Laboratorio centrale di Ricerca e controllo;1964;G.P. Tognon;
4351;COL.NB&620.136&C374;Causes, Mechanism, and Control of Cracking in Concrete;American Concrete Institute;1968;s.n;
4352;COL.NB&620.136&M294;ACI Manual of Concrete Inspection;;1975;;
4353;COL.NB&620.136&C744;Concrete Manual;;1966;;
4354;COL.NB&620.137&F352r;Reinforced Concrete Fundamentals;Fergurson, Phil M.;1965;John Wiley & Sons;
4355;COL.NB&620.137&B564m;Manual Teórico Práctico del Hormigon;Instituto del Cemento Portand Argentino;1954;El Ateneo;
4356;COL.NB&620.191&B854f;Field Inspectors Check List For Building Construction;Brigg, Lyman L.;1942;s.n;
4357;COL.NB&621&k37M;Mechanical Engineers' Handbook;kent, William;1949;John Wiley & Sons;
4358;COL.NB&621&M345m;Mechanical Engineers' Handbook;Marks, Lionel S.;1941;McGraw-Hill;
4359;COL.NB&621.204 22&A512s;Survival and Retirement Experience With Water Works Facilities;Ackerman, J. Walter;1947;American Water Works Association;
4360;COL.NB&621.204 22&B112i;Water supply engineering;Babbitt, Harold E.;1962;McGraw-Hill;
4361;COL.NB&624.204 24&A282;Water;The Yearbook Agriculture;1955;s.n;
4362;COL.NB&621&N316;Equipment Operator 1 & C;S/A.;1971;s.n;
4363;COL.NB&621.252&D232;Pump Engineering Data;S/A.;1954;Economy Pumps;
4364;COL.NB&621.3&P397e;Electrical Engineers' Handbook;Pender, Harold;1949;John Wiley & Sons;
4365;COL.NB&621.3&R559;Lo Que Usted Debe Saber Sobre los Riesgos de la Electricidad;S/A.;s.d;s.n;
4367;COL.NB&621.314&C755;Lo Que Usted Debe Saber Sobre la Conservación Preventiva de los Transformadores;;;;
4368;COL.NB&621.312 1&M254d;Plant Layout;Mallick, Randolph W.;1951;John Wiley & Sons;
4369;COL.NB&621.319 34&W112;Industrial Wire Rope;S.A.;1948;s.n;
4370;COL.NB&621.32&A772;Arquitectura de la iluminación;;1975;s.n;
